repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,num_comment_lines,comment_density,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years
nsacyber/walkoff,typescript,52d3311abe99d64cd2a902eb998c5e398efe0e07,api/client/src/app/globals/globals.component.spec.ts,<anonymous>_84,before_each,85,117,33,,0,per_test,1,1,0,0,0,3,0.09090909090909091,0,https://github.com/nsacyber/walkoff/blob/52d3311abe99d64cd2a902eb998c5e398efe0e07/api/client/src/app/globals/globals.component.spec.ts#L85-L117,human_pre2022,human,,"beforeEach(async(() => {
		TestBed.configureTestingModule({
			imports: [
				HttpModule,
				NgbModule.forRoot(),
				NgxDatatableModule,
				JwtModule.forRoot({
					config: {
						tokenGetter: jwtTokenGetter,
						blacklistedRoutes: ['login', 'api/auth/login', 'api/auth/logout', 'api/auth/refresh']
					}
				}),
				ToastrModule.forRoot({ positionClass: 'toast-bottom-right' })
				// FormsModule,
				// ReactiveFormsModule,
			],
			declarations: [GlobalsComponent],
			schemas: [NO_ERRORS_SCHEMA],
			providers: [GlobalsService, JwtInterceptor,
			// Providing JwtInterceptor allow to inject JwtInterceptor manually into RefreshTokenInterceptor
			{
				provide: HTTP_INTERCEPTORS,
				useExisting: JwtInterceptor,
				multi: true
			},
			{
				provide: HTTP_INTERCEPTORS,
				useClass: RefreshTokenInterceptor,
				multi: true
			}],
		})
		.compileComponents();
	}))",2020-09-22,4.290212183436003
nsacyber/walkoff,typescript,52d3311abe99d64cd2a902eb998c5e398efe0e07,api/client/src/app/playbook/playbook.argument.component.spec.ts,<anonymous>_18,before_each,19,26,8,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/nsacyber/walkoff/blob/52d3311abe99d64cd2a902eb998c5e398efe0e07/api/client/src/app/playbook/playbook.argument.component.spec.ts#L19-L26,human_pre2022,human,,"beforeEach(async(() => {
		TestBed.configureTestingModule({
			declarations: [PlaybookArgumentComponent, KeysPipe],
			schemas: [NO_ERRORS_SCHEMA],
			providers: [],
		})
			.compileComponents();
	}))",2020-09-22,4.290212183436003
nsacyber/walkoff,typescript,52d3311abe99d64cd2a902eb998c5e398efe0e07,api/client/src/app/playbook/playbook.argument.component.spec.ts,<anonymous>_30,before_each,31,52,21,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/nsacyber/walkoff/blob/52d3311abe99d64cd2a902eb998c5e398efe0e07/api/client/src/app/playbook/playbook.argument.component.spec.ts#L31-L52,human_pre2022,human,,"beforeEach(() => {
		fixture = TestBed.createComponent(PlaybookArgumentComponent);
		comp = fixture.componentInstance;

		comp.id = 0;
		comp.loadedWorkflow = plainToClass(Workflow, {
			id: '12345',
			name: 'TestWorkflow',
			actions: [
				{
					id: '55555',
					name: 'test action',
					position: { x: 0, y: 0 },
					app_name: 'TestApp',
					action_name: 'TestActon',
					arguments: [ comp.argument ],
				},
			],
			branches: [],
			start: '55555',
		});
	})",2020-09-22,4.290212183436003
nsacyber/walkoff,typescript,52d3311abe99d64cd2a902eb998c5e398efe0e07,api/client/src/app/reports/manage.reports.component.spec.ts,<anonymous>_8,before_each,9,14,6,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/nsacyber/walkoff/blob/52d3311abe99d64cd2a902eb998c5e398efe0e07/api/client/src/app/reports/manage.reports.component.spec.ts#L9-L14,human_pre2022,human,,"beforeEach(async(() => {
    TestBed.configureTestingModule({
      declarations: [ ManageReportsComponent ]
    })
    .compileComponents();
  }))",2020-09-22,4.290212183436003
nsacyber/walkoff,typescript,52d3311abe99d64cd2a902eb998c5e398efe0e07,api/client/src/app/reports/manage.reports.component.spec.ts,<anonymous>_15,before_each,16,20,5,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/nsacyber/walkoff/blob/52d3311abe99d64cd2a902eb998c5e398efe0e07/api/client/src/app/reports/manage.reports.component.spec.ts#L16-L20,human_pre2022,human,,"beforeEach(() => {
    fixture = TestBed.createComponent(ManageReportsComponent);
    component = fixture.componentInstance;
    fixture.detectChanges();
  })",2020-09-22,4.290212183436003
longguikeji/arkid,typescript,bba93de285aacab9e6e014bee200b9339992dadd,test/e2e/src/account.test.ts,<anonymous>_18,after_each,19,21,2,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/longguikeji/arkid/blob/bba93de285aacab9e6e014bee200b9339992dadd/test/e2e/src/account.test.ts#L19-L21,human_pre2022,human,,"afterEach ( async () => {
       
    })",2020-12-28,1.3990417522245038
longguikeji/arkid,typescript,bba93de285aacab9e6e014bee200b9339992dadd,test/e2e/src/account.test.ts,<anonymous>_114,after_all,115,117,2,,0,per_class,1,1,0,0,0,0,0.0,0,https://github.com/longguikeji/arkid/blob/bba93de285aacab9e6e014bee200b9339992dadd/test/e2e/src/account.test.ts#L115-L117,human_pre2022,human,,"afterAll ( async () => {
        
    })",2020-12-28,1.3990417522245038
longguikeji/arkid,typescript,bba93de285aacab9e6e014bee200b9339992dadd,test/e2e/src/account.test.ts,<anonymous>_142,after_each,143,145,2,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/longguikeji/arkid/blob/bba93de285aacab9e6e014bee200b9339992dadd/test/e2e/src/account.test.ts#L143-L145,human_pre2022,human,,"afterEach ( async () => {
       
    })",2020-12-28,1.3990417522245038
longguikeji/arkid,typescript,bba93de285aacab9e6e014bee200b9339992dadd,test/e2e/src/account.test.ts,<anonymous>_211,after_all,212,214,2,,0,per_class,1,1,0,0,0,0,0.0,0,https://github.com/longguikeji/arkid/blob/bba93de285aacab9e6e014bee200b9339992dadd/test/e2e/src/account.test.ts#L212-L214,human_pre2022,human,,"afterAll ( async () => {
       
    })",2020-12-28,1.3990417522245038
longguikeji/arkid,typescript,bba93de285aacab9e6e014bee200b9339992dadd,test/e2e/src/appManage.test.ts,<anonymous>_20,before_each,21,25,4,,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/longguikeji/arkid/blob/bba93de285aacab9e6e014bee200b9339992dadd/test/e2e/src/appManage.test.ts#L21-L25,human_pre2022,human,,"beforeEach( async () => {
        page = await global.browser.newPage()
        await page.goto(config.url);

    })",2020-12-28,1.3990417522245038
