repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
agershun/alasql,javascript,f9f6e750054be4c62ec55378ab46082966abd146,test/test856.js,<anonymous>_8,mocha_before,9,12,4,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/f9f6e750054be4c62ec55378ab46082966abd146/test/test856.js#L9-L12,copilot,agent,none,"before(function () {
		alasql('DROP TABLE IF EXISTS test856table');
		alasql('CREATE TABLE test856table (id INT, name STRING)');
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,f9f6e750054be4c62ec55378ab46082966abd146,test/test856.js,<anonymous>_13,mocha_after,14,16,3,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/f9f6e750054be4c62ec55378ab46082966abd146/test/test856.js#L14-L16,copilot,agent,none,"after(function () {
		alasql('DROP TABLE test856table');
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,4eddc73e498caf431e6289acaab1164bbd0a4fe4,test/test847.js,<anonymous>_7,mocha_before,8,23,13,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/4eddc73e498caf431e6289acaab1164bbd0a4fe4/test/test847.js#L8-L23,copilot,agent,none,"before(function () {
		alasql(`
			DROP TABLE IF EXISTS cities;
			DROP TABLE IF EXISTS countries;
			DROP TABLE IF EXISTS population;

			CREATE TABLE cities (city string, population number);
			INSERT INTO cities VALUES ('Rome',2863223), ('Paris',2249975), ('Berlin',3517424), ('Madrid',3041579),('Easingwold',4627);

			CREATE TABLE countries (name string, population number, city string);
			INSERT INTO countries VALUES ('Italy', 89764679009, 'Rome'), ('France', 165247191, 'Paris'), ('Germany', 346186257, 'Berlin');

			CREATE TABLE population (number int);
			INSERT INTO population VALUES (89764679009), (165247191);
		`);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,4eddc73e498caf431e6289acaab1164bbd0a4fe4,test/test847.js,<anonymous>_24,mocha_after,25,31,7,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/4eddc73e498caf431e6289acaab1164bbd0a4fe4/test/test847.js#L25-L31,copilot,agent,none,"after(function () {
		alasql(`
			DROP TABLE IF EXISTS cities;
			DROP TABLE IF EXISTS countries;
			DROP TABLE IF EXISTS population;
		`);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,9b3888d2d91f7acfc0347d253e82934025d4b5dd,test/test2200.js,<anonymous>_10,mocha_before,11,20,10,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/9b3888d2d91f7acfc0347d253e82934025d4b5dd/test/test2200.js#L11-L20,copilot,agent,none,"before(function () {
			alasql('CREATE DATABASE test2200a');
			alasql('CREATE DATABASE test2200b');
			alasql('USE test2200a');
			alasql('CREATE TABLE table1 (col1 INT, col2 VARCHAR(50))');
			alasql('CREATE INDEX idx_col1 ON table1(col1)');
			alasql('USE test2200b');
			alasql('CREATE TABLE table2 (col3 DECIMAL(10,2), col4 BOOLEAN)');
			alasql('CREATE INDEX idx_col3 ON table2(col3)');
		})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,9b3888d2d91f7acfc0347d253e82934025d4b5dd,test/test2200.js,<anonymous>_76,mocha_after,77,80,4,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/9b3888d2d91f7acfc0347d253e82934025d4b5dd/test/test2200.js#L77-L80,copilot,agent,none,"after(function () {
			alasql('DROP DATABASE test2200a');
			alasql('DROP DATABASE test2200b');
		})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,8247c9eed534e6b5d4bf5b8d7a5bbdac0b7ffb32,test/test1009.js,<anonymous>_8,mocha_before,9,12,4,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/8247c9eed534e6b5d4bf5b8d7a5bbdac0b7ffb32/test/test1009.js#L9-L12,copilot,agent,none,"before(function () {
		alasql('create database test' + test);
		alasql('use test' + test);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,8247c9eed534e6b5d4bf5b8d7a5bbdac0b7ffb32,test/test1009.js,<anonymous>_13,mocha_after,14,16,3,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/8247c9eed534e6b5d4bf5b8d7a5bbdac0b7ffb32/test/test1009.js#L14-L16,copilot,agent,none,"after(function () {
		alasql('drop database test' + test);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,1298c4b49f73491fd192a1df129fe5771dba42af,test/test895.js,<anonymous>_8,mocha_before,9,12,4,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/1298c4b49f73491fd192a1df129fe5771dba42af/test/test895.js#L9-L12,copilot,agent,none,"before(() => {
		alasql('create database test' + testId);
		alasql('use test' + testId);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,1298c4b49f73491fd192a1df129fe5771dba42af,test/test895.js,<anonymous>_13,mocha_after,14,16,3,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/1298c4b49f73491fd192a1df129fe5771dba42af/test/test895.js#L14-L16,copilot,agent,none,"after(() => {
		alasql('drop database test' + testId);
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,30bc35600d4bbe7b3c4a49150b51224ae88a4d35,test/test1126.js,<anonymous>_6,mocha_before,7,9,3,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/30bc35600d4bbe7b3c4a49150b51224ae88a4d35/test/test1126.js#L7-L9,copilot,agent,none,"before(function () {
		alasql('CREATE DATABASE test1126;USE test1126');
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,30bc35600d4bbe7b3c4a49150b51224ae88a4d35,test/test1126.js,<anonymous>_10,mocha_after,11,13,3,,0,per_test,1,1,0,0,0,0,https://github.com/agershun/alasql/blob/30bc35600d4bbe7b3c4a49150b51224ae88a4d35/test/test1126.js#L11-L13,copilot,agent,none,"after(function () {
		alasql('DROP DATABASE test1126');
	})",2025-11-20,11.066392881587953,1
agershun/alasql,javascript,aa3ea87c195c993f73c224d3ab181ef163761e43,test/test1027.js,<anonymous>_8,mocha_before,9,12,4,,0,per_test,1,1,0,0,0,1,https://github.com/agershun/alasql/blob/aa3ea87c195c993f73c224d3ab181ef163761e43/test/test1027.js#L9-L12,copilot,agent,none,"before(function () {
		alasql('create database test' + test);
		alasql('use test' + test);
	})",2025-11-20,11.066392881587953,1
