pattern,tool,start_date,end_date
aider,Aider,,
aider@aider.chat,Aider,,
Claude,Claude Code,,
noreply@anthropic.com,Claude Code,,
claude@anthropic.com,Claude Code,,
assistant@anthropic.com,Claude Code,,
Copilot,Copilot,,
openhands@all-hands.dev,OpenHands,,
openhands-agent,OpenHands,,
devin-ai-integration,Devin,,
google-labs-jules,Jules,,
jules@users.noreply.github.com,Jules,,
copilot-swe-agent,Copilot,,
junie,Junie,,
jetbrains-junie,Junie,,
gru-agent,Gru,,
cursor,Cursor,,
cursoragent@cursor.com,Cursor,,
gemini-code-assist,Gemini,,
gemini-cli,Gemini,,
sweep-ai,Sweep,,
coderabbit,Coderabbit,,
sourcery-ai,Sourcery,,
deepsource-autofix,Deepsource,,
gpt-engineer,GPT-Engineer,,
codegen-sh,Codegen,,
hello@sketch.dev,Sketch,,
windsurf-bot,Windsurf,,
cascade@windsurf.ai,Windsurf,,
dev@fly.io,Fly,,
ChatGPT,ChatGPT,,
chatgpt@chatgpt.com,ChatGPT,,
chatgpt@openai.com,ChatGPT,,
chatGPT@no-reply.com,ChatGPT,,
roomote-agent,Roo Code,,
roomote@roocode.com,Roo Code,,
roomote,Roo Code,,
Roo Code,Roo Code,,
amp@ampcode.com,Amp,,
noreply@opencode.ai,Opencode,,
Kilo Code,Kilo Code,,
crush@charm.land,Crush,,
codex@openai.com,Codex,,
Gemini 2.5 Pro,Gemini,,
Gemini 2.5 Flash,Gemini,,
Qwen-Coder,Qwen Coder,,
qwen-coder@alibabacloud.com,Qwen Coder,,
open-swe,Langchain Open SWE,,
noreply@warp.dev,Warp,,
no-reply@ona.com,Ona,,
AI [Aa]ssistant,Generic,,
seer-by-sentry,Sentry Seer,,
agent@abacus.ai,Abacus,,
abacus-ai-automation[bot],Abacus,,
vibe@mistral.ai,Mistral Vibe,,
noreply@letta.com,Letta Code,,
factory-droid[bot],Factory Droid,,
Claude Opus 4.5,Claude Code,,
Claude Opus 4.6,Claude Code,,
Claude Haiku 4.5,Claude Code,,
Claude Sonnet 4.5,Claude Code,,
Codex (gpt-5.2-codex),Codex,,
codex@openai.com,Codex,,
opencode-agent,Opencode,,
Claude (glm-4.7),Claude Code,,
Claude (GLM-4.7),Claude Code,,
Claude (glm-4.6),Claude Code,,
Claude (GLM-4.6),Claude Code,,
Claude (kimi-for-coding),Claude Code,,
Claude (kimi-k2.5),Claude Code,,
Claude (MiniMax-M2.1),Claude Code,,
kiro@aws.amazon.com,Kiro,,
kiro-noreply@amazon.com,Kiro,,
kiro-agent@amazon.com,Kiro,,
microsoft-amplifier@users.noreply.github.com,Microsoft Amplifier,,
verdent@verdent.ai,Verdent,,
noreply@verdent.ai,Verdent,,
noreply@paperclip.ing,Paperclip,,
# ---------- Everything above this line is labri-progress/agent-mining's authors.csv content, snapshotted verbatim on 2026-07-10 in its original order (github.com/labri-progress/agent-mining/blob/main/patterns/authors.csv -- an upstream, actively-maintained file, so a later re-diff may show drift from this snapshot), with ONE deliberate exception: upstream's "cline,Cline,," and "cline@example.com,Cline,," rows were removed on 2026-07-17 after this project's own Dataset A validation sampling found them producing confirmed false positives (matching real humans whose name/employer collides with the word "cline" -- e.g. a human surnamed Cline, and multiple actual employees of the Cline company committing to their own product's repo under an @cline.bot work email, including Cline's own creator) and a check of Cline's official docs (docs.cline.bot, checked 2026-07-17) found no auto-commit-under-its-own-identity feature and no Co-authored-by/Assisted-by trailer convention -- Cline satisfies neither half of this project's detection methodology (no primary authorship, no co-authorship trailer), the same evidentiary bar the CURSOR.md removal from agent_files.csv used (see that file's own boundary comment). Not replaced, since no correct equivalent convention exists to replace it with. Everything below is this project's own additions, not part of that upstream file. ----------
openhands,OpenHands,,
google jules,Jules,,
jules,Jules,,
gemini,Gemini,,
windsurf,Windsurf,,
codex,Codex,,
github.com/apps/github-copilot,Copilot,,
github copilot,Copilot,,
