repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
agronholm/anyio,python,0,0,,,https://github.com/agronholm/anyio.git,1,0,1,2018-08-19T09:07:18,"[""async-await"", ""asyncio"", ""trio""]"
aio-libs/yarl,python,0,0,,,https://github.com/aio-libs/yarl.git,0,0,0,2016-08-02T12:56:42,"[""aiohttp"", ""hacktoberfest"", ""url-parsing"", ""urls""]"
aiogram/aiogram,python,1,1,49d0784e33b9c0101682504440e66b3d14b8c075,49d0784e33b9c0101682504440e66b3d14b8c075,https://github.com/aiogram/aiogram.git,5,4,1,2017-11-18T02:11:13,"[""aiogram"", ""asyncio"", ""bot"", ""bot-framework"", ""python"", ""telegram-bot"", ""telegram-bot-api""]"
aio-libs/aiobotocore,python,0,0,,,https://github.com/aio-libs/aiobotocore.git,10,8,2,2015-05-31T07:28:54,"[""aiohttp"", ""asyncio"", ""aws"", ""aws-sdk"", ""botocore"", ""cloud"", ""cloud-management""]"
al-one/hass-xiaomi-miot,python,4,1,148c697ed8f92e63f8d62f47f398c0d4fdb3237d,148c697ed8f92e63f8d62f47f398c0d4fdb3237d,https://github.com/al-one/hass-xiaomi-miot.git,2,1,1,2020-12-03T12:13:13,"[""custom-component"", ""hass"", ""home-assistant"", ""home-assistant-integration"", ""homeassistant"", ""iot"", ""miio"", ""miot"", ""miot-spec"", ""smart-home"", ""xiaoai"", ""xiaomi"", ""xiaomi-miot""]"
aiidateam/aiida-core,python,0,0,,,https://github.com/aiidateam/aiida-core.git,1,0,1,2016-12-23T03:38:21,"[""aiida"", ""computational-science"", ""data-provenance"", ""database"", ""provenance"", ""scheduler"", ""ssh"", ""workflow"", ""workflow-engine"", ""workflows""]"
alberanid/imdbpy,python,0,0,,,https://github.com/alberanid/imdbpy.git,1,1,0,2010-08-01T05:34:24,[]
aistream-peelout/flow-forecast,python,0,0,,,https://github.com/aistream-peelout/flow-forecast.git,2,2,0,2019-08-15T05:02:09,"[""anomaly-detection"", ""deep-learning"", ""deep-neural-networks"", ""forecasting"", ""hacktoberfest"", ""lstm"", ""pytorch"", ""state-of-the-art-models"", ""time-series"", ""time-series-analysis"", ""time-series-forecasting"", ""time-series-regression"", ""transfer-learning"", ""transformer""]"
albumentations-team/albumentations,python,0,0,,,https://github.com/albumentations-team/albumentations.git,0,0,0,2018-06-06T03:10:50,"[""augmentation"", ""deep-learning"", ""detection"", ""fast-augmentations"", ""image-augmentation"", ""image-classification"", ""image-processing"", ""image-segmentation"", ""machine-learning"", ""object-detection"", ""python"", ""segmentation""]"
aio-libs/aiohttp,python,0,0,,,https://github.com/aio-libs/aiohttp.git,0,0,0,2013-10-01T11:04:01,"[""aiohttp"", ""async"", ""asyncio"", ""hacktoberfest"", ""http"", ""http-client"", ""http-server"", ""python""]"
andialbrecht/sqlparse,python,0,0,,,https://github.com/andialbrecht/sqlparse.git,0,0,0,2012-04-18T07:33:21,[]
amphibian-dev/toad,python,0,0,,,https://github.com/amphibian-dev/toad.git,4,3,1,2018-08-31T06:01:28,"[""credit-risk"", ""credit-scoring"", ""data-analysis"", ""financial-analysis"", ""python3"", ""scorecard"", ""toad""]"
aragonsnow/qiandao,python,0,0,,,https://github.com/aragonsnow/qiandao.git,0,0,0,2020-05-11T07:51:12,[]
asahilinux/m1n1,python,0,0,,,https://github.com/asahilinux/m1n1.git,0,0,0,2021-01-14T06:59:03,[]
alicevision/meshroom,python,0,0,,,https://github.com/alicevision/meshroom.git,1,1,0,2015-04-22T05:33:16,"[""3d-reconstruction"", ""alicevision"", ""camera-tracking"", ""computer-vision"", ""hdr-imaging"", ""image-stitching"", ""meshroom"", ""multi-view-stereo"", ""nocode"", ""nodal-interface"", ""photogrammetry"", ""structure-from-motion"", ""texturing"", ""workflow-automation""]"
benadida/helios-server,python,0,0,,,https://github.com/benadida/helios-server.git,0,0,0,2009-07-26T12:25:38,"[""javascript"", ""python"", ""voting""]"
alltheplaces/alltheplaces,python,0,0,,,https://github.com/alltheplaces/alltheplaces.git,0,0,0,2016-06-15T01:09:18,"[""geojson"", ""hacktoberfest"", ""python"", ""scrapers"", ""scrapy"", ""spider""]"
andymccurdy/redis-py,python,2,1,2a493975b05e2393c66d53bfe900bcc5e3787859,2a493975b05e2393c66d53bfe900bcc5e3787859,https://github.com/andymccurdy/redis-py.git,21,7,14,2009-11-06T10:22:26,[]
binref/refinery,python,0,0,,,https://github.com/binref/refinery.git,0,0,0,2019-12-14T12:32:06,"[""commandline"", ""compression"", ""cryptography"", ""malware-analysis"", ""triage""]"
brainix/pottery,python,0,0,,,https://github.com/brainix/pottery.git,0,0,0,2015-06-10T07:30:43,"[""asyncio"", ""bloom-filter"", ""cache"", ""dict"", ""distributed"", ""distributed-lock"", ""distributed-locks"", ""forhumans"", ""library"", ""lock"", ""no-sql"", ""python"", ""redis"", ""redis-cache"", ""redis-client"", ""resillience""]"
3b1b/videos,python,0,0,,,https://github.com/3b1b/videos.git,0,0,0,2020-12-31T09:07:33,[]
borgbase/vorta,python,0,0,,,https://github.com/borgbase/vorta.git,2,2,0,2018-10-27T11:19:36,"[""backup-client"", ""borg"", ""borgbackup"", ""gui"", ""linux-desktop"", ""macos""]"
caesar0301/treelib,python,0,0,,,https://github.com/caesar0301/treelib.git,0,0,0,2012-07-07T09:42:25,"[""algorithm"", ""datastructures"", ""python"", ""tree"", ""treelib""]"
blazemeter/taurus,python,2,1,6f95cb3072dad8ad1858debad5c7a12f0029f010,6f95cb3072dad8ad1858debad5c7a12f0029f010,https://github.com/blazemeter/taurus.git,1,0,1,2015-02-17T10:05:08,"[""gatling"", ""jenkins"", ""jmeter"", ""load-testing"", ""performance"", ""python"", ""selenium"", ""titans""]"
borgbackup/borg,python,0,0,,,https://github.com/borgbackup/borg.git,83,49,34,2015-05-12T11:10:47,"[""backup"", ""borgbackup"", ""compression"", ""deduplication"", ""encryption"", ""python"", ""ssh""]"
capitalone/datacompy,python,0,0,,,https://github.com/capitalone/datacompy.git,0,0,0,2018-03-23T01:16:03,"[""compare"", ""dask"", ""data"", ""data-science"", ""dataframes"", ""fugue"", ""numpy"", ""pandas"", ""polars"", ""pyspark"", ""python"", ""snowflake"", ""snowpark"", ""spark""]"
beetbox/beets,python,0,0,,,https://github.com/beetbox/beets.git,6,2,4,2010-08-09T11:17:20,"[""cli"", ""hacktoberfest"", ""music"", ""music-library"", ""musicbrainz"", ""python""]"
cdgriffith/fastflix,python,0,0,,,https://github.com/cdgriffith/fastflix.git,0,0,0,2019-02-19T02:41:07,"[""av1"", ""avif"", ""encoders"", ""fastflix"", ""ffmpeg"", ""hdr"", ""hdr10"", ""hevc"", ""hevc-encoder"", ""libaom-av1"", ""mkv"", ""mp4"", ""rav1e"", ""svt-av1"", ""vp9"", ""webp"", ""x264"", ""x265""]"
brndnmtthws/thetagang,python,0,0,,,https://github.com/brndnmtthws/thetagang.git,1,1,0,2020-12-03T08:17:09,"[""bot"", ""buying-shares"", ""get-rich-slowly"", ""ibkr"", ""money"", ""strategy"", ""thetagang"", ""trading-bot""]"
ansible/ansible,python,0,0,,,https://github.com/ansible/ansible.git,4,2,2,2012-03-06T02:58:02,"[""ansible"", ""python""]"
chipsec/chipsec,python,3,2,7747d4549841fcc7065e0130a95c40e37201aeb9,32e2ba62c367523a17ffa01fd25f169d59b6de8e,https://github.com/chipsec/chipsec.git,2,0,2,2014-03-06T09:57:10,"[""firmware"", ""firmware-security"", ""firmware-tools"", ""security"", ""security-tools""]"
celery/celery,python,6,2,dd4cf64a02d887e9425ec7d822bb623b8a88abf2,de104a2fce76a8949012493b83da48daaa6d0247,https://github.com/celery/celery.git,7,4,3,2009-04-24T11:31:24,"[""amqp"", ""python"", ""python-library"", ""python3"", ""queue-tasks"", ""queue-workers"", ""queued-jobs"", ""redis"", ""redis-queue"", ""sqs"", ""sqs-queue"", ""task-manager"", ""task-runner"", ""task-scheduler""]"
cobbler/cobbler,python,0,0,,,https://github.com/cobbler/cobbler.git,10,6,4,2011-11-08T03:01:00,"[""cobbler"", ""deployment"", ""dhcp"", ""hacktoberfest"", ""pxe"", ""python"", ""tftp""]"
catalyst-cooperative/pudl,python,0,0,,,https://github.com/catalyst-cooperative/pudl.git,5,5,0,2017-02-01T05:45:40,"[""cems"", ""climate"", ""coal"", ""ddj"", ""eia"", ""eia860"", ""eia923"", ""electricity"", ""emissions"", ""energy"", ""epa"", ""etl"", ""ferc"", ""ghg"", ""natural-gas"", ""open-data"", ""pudl"", ""python"", ""sqlite"", ""utility""]"
